Timestamp,Symbol,Spread,Best Buy,Best Sell,Profit Potential,Bybit Price,Gate Price,MEXC Price,Huobi Price,BingX Price,Bitget Price,OKX Price
2025-07-07 16:10:45,ANIMEUSDT,2.9955%,Huobi,MEXC,3.0779%,0.01638,0.0164,0.01641,0.01592,0,0,0.01638
2025-07-07 16:21:24,ANIMEUSDT,2.0509%,Huobi,Gate,2.1223%,0.01635,0.01636,0,0.01602,0,0,0.01636
2025-07-07 16:23:15,ANIMEUSDT,2.5462%,Huobi,Bybit,2.6283%,0.0164,0.016395,0,0.01598,0,0,0
2025-07-07 16:26:35,SHELLUSDT,2.8371%,Gate,Huobi,2.9091%,0.138,0.1375,0.1381,0.1415,0,0,0.1381
2025-07-07 16:26:38,SHELLUSDT,2.8371%,Gate,Huobi,2.9091%,0.138,0.1375,0.1381,0.1415,0,0,0
2025-07-07 16:28:17,ANIMEUSDT,2.8607%,Huobi,Bybit,2.9430%,0.01644,0.01642,0,0.01597,0,0,0
2025-07-07 16:28:19,ANIMEUSDT,2.2828%,Huobi,MEXC,2.3647%,0.01644,0.01642,0.01645,0.01607,0,0,0
2025-07-07 16:33:23,ANIMEUSDT,2.0963%,Huobi,Bybit,2.1780%,0.01642,0.01642,0.01642,0.01607,0,0,0
2025-07-07 16:33:32,ANIMEUSDT,2.0963%,Huobi,Bybit,2.1780%,0.01642,0.01642,0,0.01607,0,0,0.01641
2025-07-07 16:37:27,PALUSDT,2.4944%,Gate,MEXC,2.5662%,0,0.02494,0.02558,0,0,0,0
2025-07-07 16:49:53,PALUSDT,2.1375%,Gate,MEXC,2.2090%,0,0.02852,0.02915,0,0,0,0
2025-07-07 16:52:00,SHELLUSDT,2.1135%,Gate,Huobi,2.1850%,0.1374,0.1373,0,0.1403,0,0,0.1374
2025-07-07 16:58:14,ANIMEUSDT,2.2235%,Huobi,Bybit,2.3053%,0.01642,0.016399,0,0.01605,0,0,0
2025-07-07 16:58:20,ANIMEUSDT,2.1612%,Huobi,Bybit,2.2430%,0.01641,0.016399,0,0.01605,0,0,0
2025-07-07 17:06:33,HYPERUSDT,2.8016%,Gate,Huobi,2.8736%,0.1045,0.1044,0,0.1074,0,0,0
2025-07-07 17:06:45,HYPERUSDT,2.9886%,MEXC,Huobi,3.0710%,0.1045,0.1044,0.1042,0.1074,0,0,0
2025-07-07 17:50:23,VOXELUSDT,4.1749%,Gate,Huobi,4.2479%,0.04571,0.04567,0,0.04761,0,0,0
2025-07-07 17:50:24,VOXELUSDT,4.1749%,Gate,Huobi,4.2479%,0.04571,0.04567,0,0.04761,0,0,0
2025-07-07 17:53:02,NAVXUSDT,2.0708%,Gate,MEXC,2.1423%,0,0.03921,0.04005,0,0,0,0
2025-07-07 18:01:14,LUCEUSDT,2.5091%,Gate,MEXC,2.5809%,0,0.004572,0.00469,0,0,0,0
2025-07-07 18:01:23,LUCEUSDT,2.0720%,Gate,MEXC,2.1435%,0,0.004572,0.00467,0,0,0,0
2025-07-07 18:09:30,NAVXUSDT,2.1983%,Gate,MEXC,2.2698%,0,0.03921,0.0401,0,0,0,0
2025-07-07 18:09:39,RDOUSDT,2.0239%,Gate,MEXC,2.0954%,0,0.001384,0.001413,0,0,0,0
2025-07-07 18:11:41,RDOUSDT,2.2405%,Gate,MEXC,2.3121%,0,0.001384,0.001416,0,0,0,0
2025-07-07 18:22:02,NAVXUSDT,2.2717%,Gate,MEXC,2.3434%,0,0.03926,0.04018,0,0,0,0
2025-07-07 18:24:08,ANIMEUSDT,2.1181%,Huobi,Bybit,2.1999%,0.01626,0.016241,0,0.01591,0,0,0.01624
2025-07-07 18:24:08,ANIMEUSDT,2.1181%,Huobi,Bybit,2.1999%,0.01626,0.016241,0,0.01591,0,0,0.01624
2025-07-07 18:28:29,NAVXUSDT,2.5243%,Gate,MEXC,2.5961%,0,0.03929,0.04031,0,0,0,0
2025-07-07 18:30:26,LUCEUSDT,2.2386%,Gate,MEXC,2.3102%,0,0.004545,0.00465,0,0,0,0
2025-07-07 18:30:33,LUCEUSDT,3.1181%,Gate,MEXC,3.1903%,0,0.004545,0.00469,0,0,0,0
2025-07-07 18:32:32,BUSDT,4.0545%,Huobi,Gate,4.1274%,0.38589,0.3865,0.38611,0.37118,0,0,0
2025-07-07 18:32:32,NAVXUSDT,3.2610%,Gate,MEXC,3.3333%,0,0.039,0.0403,0,0,0,0
2025-07-07 18:32:38,BUSDT,4.0545%,Huobi,Gate,4.1274%,0.38589,0.3865,0,0.37118,0,0,0
2025-07-07 18:34:42,NAVXUSDT,3.3123%,Gate,MEXC,3.3846%,0,0.039,0.04032,0,0,0,0
2025-07-07 18:36:46,LUCEUSDT,2.2036%,Gate,MEXC,2.2752%,0,0.004615,0.00472,0,0,0,0
2025-07-07 18:45:02,KMNOUSDT,2.3369%,Huobi,Gate,2.4085%,0.05565,0.0557,0,0.05439,0,0,0.05559
2025-07-07 18:45:02,NEWTUSDT,2.7329%,Huobi,Bybit,2.8151%,0.3214,0.3213,0,0.3126,0,0,0
2025-07-07 18:45:07,KMNOUSDT,2.3369%,Huobi,Gate,2.4085%,0.05565,0.0557,0,0.05439,0,0,0.05559
2025-07-07 18:45:07,NEWTUSDT,2.7329%,Huobi,Bybit,2.8151%,0.3214,0.3213,0,0.3126,0,0,0
2025-07-07 18:51:15,ANIMEUSDT,2.0500%,Huobi,Bybit,2.1317%,0.01629,0.016276,0,0.01595,0,0,0
2025-07-07 18:51:15,BROCCOLIUSDT,2.3626%,Huobi,Bybit,2.4445%,0.04107,0.04101,0,0.04009,0,0,0
2025-07-07 18:51:20,ANIMEUSDT,2.0500%,Huobi,Bybit,2.1317%,0.01629,0.016276,0,0.01595,0,0,0
2025-07-07 18:51:20,BROCCOLIUSDT,2.3626%,Huobi,Bybit,2.4445%,0.04107,0.04105,0.04105,0.04009,0,0,0
2025-07-07 18:51:20,LUCEUSDT,2.4979%,Gate,MEXC,2.5697%,0,0.004592,0.00471,0,0,0,0
2025-07-07 18:53:21,AMPUSDT,2.0354%,Gate,MEXC,2.1068%,0,0.00337,0.003441,0,0,0,0
2025-07-07 18:53:26,AMPUSDT,2.0354%,Gate,MEXC,2.1068%,0,0.00337,0.003441,0,0,0,0
2025-07-07 19:00:03,ANIMEUSDT,4.4065%,Huobi,Bybit,4.4901%,0.01629,0.016279,0,0.01559,0,0,0
2025-07-07 19:02:03,AMPUSDT,2.0650%,Gate,MEXC,2.1365%,0,0.00337,0.003442,0,0,0,0
2025-07-07 19:02:03,FTTUSDT,3.0462%,Gate,Huobi,3.1184%,0,0.8049,0,0.83,0,0,0
2025-07-07 19:02:10,AMPUSDT,2.0354%,Gate,MEXC,2.1068%,0,0.00337,0.003441,0,0,0,0
2025-07-07 19:02:10,LUCEUSDT,2.0699%,Gate,MEXC,2.1413%,0,0.00467,0.00477,0,0,0,0
2025-07-07 19:02:11,FTTUSDT,3.6670%,Gate,Huobi,3.7396%,0,0.8049,0,0.835,0,0,0
2025-07-07 19:04:10,AUSDT,5.8112%,Huobi,Bybit,5.8959%,0.5532,0.552,0,0.5224,0,0,0.5331
2025-07-07 19:04:10,CETUSUSDT,5.5736%,Huobi,MEXC,5.6581%,0.08868,0.0886,0.0887,0.08395,0,0,0.08867
2025-07-07 19:04:16,AUSDT,5.1226%,Huobi,Bybit,5.2067%,0.5496,0.5379,0,0.5224,0,0,0
2025-07-07 19:04:16,CETUSUSDT,5.5498%,Huobi,Bybit,5.6343%,0.08868,0.0886,0,0.08395,0,0,0.08867
2025-07-07 19:06:17,ANIMEUSDT,2.2438%,Huobi,Bybit,2.3256%,0.01628,0.016274,0,0.01591,0,0,0
2025-07-07 19:06:22,ANIMEUSDT,2.2438%,Huobi,Bybit,2.3256%,0.01628,0.016274,0.01628,0.01591,0,0,0.01628
